Data: giovedì 7 maggio 2020	Ora: 13:46
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 256.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 343.00	X axis (mm): 580.50
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 41
******************************************************
Acq. time (s):  3.00	Number of scans:  1	Total acq. time (s):  3.00
******************************************************
335.000000	302.000000
335.250000	313.000000
335.500000	307.000000
335.750000	279.000000
336.000000	323.000000
336.250000	304.000000
336.500000	292.000000
336.750000	286.000000
337.000000	304.000000
337.250000	271.000000
337.500000	296.000000
337.750000	302.000000
338.000000	290.000000
338.250000	277.000000
338.500000	269.000000
338.750000	295.000000
339.000000	267.000000
339.250000	258.000000
339.500000	257.000000
339.750000	264.000000
340.000000	264.000000
340.250000	248.000000
340.500000	258.000000
340.750000	250.000000
341.000000	232.000000
341.250000	223.000000
341.500000	234.000000
341.750000	231.000000
342.000000	249.000000
342.250000	213.000000
342.500000	233.000000
342.750000	197.000000
343.000000	186.000000
