=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
16 64 -1.024400 0.020536  226.065 2405.152 2557.222    5229.67
17 64 0.058795 1.191483 43361.387 695.440 2557.250  101657.23
=== Event 65 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 218510 == Nb of channels = 2 ===
16 65 -1.010962 0.020662  -77.285 2093.914 2098.827    5229.67
17 65 0.058351 1.199296 42744.590 722.461 2557.248  101657.23
=== Event 66 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 221765 == Nb of channels = 2 ===
16 66 -1.013021 -0.020249 -325.649 850.977 857.017    5229.67
17 66 0.058846 1.194804 43099.844 706.283 2557.249  101657.23
=== Event 67 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 225019 == Nb of channels = 2 ===
16 67 -1.022508 0.014566  236.409 1257.614 1261.524    5229.67
17 67 0.058543 1.191476 42538.516 730.498 2557.250  101657.23
=== Event 68 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 228274 == Nb of channels = 2 ===
16 68 -1.012062 -0.024020 -120.742 2365.523 2370.369    5229.67
17 68 0.058695 1.196636 42834.184 717.946 2557.249  101657.23
=== Event 69 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 231529 == Nb of channels = 2 ===
16 69 -1.011565 -0.015066 -212.302 1170.579 1174.609    5229.67
17 69 0.058849 1.194491 43101.500 706.236 2557.249  101657.23
=== Event 70 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 234784 == Nb of channels = 2 ===
